Domain,URL,Email,Telefon,Branche,Größe,Priorität,Pain Points,Approach,Zahlungsarten
"holz-und-handlauf.de","https://holz-und-handlauf.de","info@holz-und-handlauf.de","+4993749788855","Sonstiges","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay"
"holzwelt-graef.de","https://holzwelt-graef.de","info@holzwelt-graef.de","0421564800","Sonstiges","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay"
"loadcare.de","https://loadcare.de","","+4938112183192","Sonstiges","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay, apple_pay"
"marc-aurel.com","https://marc-aurel.com","eshop@marc-aurel.com","+4915122737689","Sonstiges","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay, google_pay"
"naehmaschinen-paradies.de","https://naehmaschinen-paradies.de","","0713168123","Sport/Freizeit","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay"
"office-partner.de","https://office-partner.de","shop@office-partner.de","+4925429558250","Büro/Office","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay, apple_pay"
"party.de","https://party.de","","045316401","Sonstiges","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay"
"schuhhaus-strauch.de","https://schuhhaus-strauch.de","service@schuhhaus-strauch.de","035603189092","Mode/Textil","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay, apple_pay"
"softwarehunter.de","https://softwarehunter.de","support@softwarehunter.de","021717949087","Sonstiges","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay"
"softwareindustrie24.de","https://softwareindustrie24.de","","06799859040224","Sonstiges","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, stripe, amazon_pay"
"softwarekaufen24.de","https://softwarekaufen24.de","","051219289017","Sonstiges","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, stripe, amazon_pay, apple_pay, google_pay"
"softwaremarkt24.de","https://softwaremarkt24.de","","004951219288807","Sonstiges","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay, apple_pay"
"sportspar.de","https://sportspar.de","","073088507","Sport/Freizeit","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay"
"staubsaugerladen.de","https://staubsaugerladen.de","","+497161352788","Sonstiges","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay"
"the-jeans.de","https://the-jeans.de","info@the-jeans.de","052141231","Sonstiges","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay"
"weekview.de","https://weekview.de","webshop@weekview.de","08990157771","Sonstiges","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay"
"officepartner.de","https://officepartner.de","shop@office-partner.de","+4925429558250","Büro/Office","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay, apple_pay"
"paper-markt.de","https://paper-markt.de","","025676603701","Sonstiges","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, stripe, amazon_pay, apple_pay"
"golfshop.de","https://golfshop.de","","080246499942","Sonstiges","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay, apple_pay"
"1a-saugnapf.com","https://1a-saugnapf.com","","019833792","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, klarna, stripe"
"ahw-shop.de","https://ahw-shop.de","","069616747","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"alu-profile-zuschnitt.de","https://alu-profile-zuschnitt.de","","083333333333333","Bau/Industrie","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall | Schnittstellen zu ERP/Warenwirtschaft","Kostenlose Analyse anbieten | Technische Expertise betonen","paypal, amazon_pay"
"andalous-dessous.de","https://andalous-dessous.de","service@andalous-dessous.de","024054950080","Mode/Textil","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall | Moderne UX wichtig für Zielgruppe","Kostenlose Analyse anbieten | SW6 Design-Vorteile zeigen","paypal, amazon_pay"
"automatikshop.de","https://automatikshop.de","info@automatikshop.de","+493023526315","Automotive","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall | Schnittstellen zu ERP/Warenwirtschaft","Kostenlose Analyse anbieten | Technische Expertise betonen","paypal, stripe, amazon_pay"
"bikemeile24.de","https://bikemeile24.de","","+490783554120","Sport/Freizeit","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"boxerman.de","https://boxerman.de","service@boxerman.de","021190172018","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"brauen.de","https://brauen.de","info@brauen.de","01912171122","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"brillenwerk24.de","https://brillenwerk24.de","","044113842","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, klarna"
"bronze-shop.com","https://bronze-shop.com","","033943781","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"chapati.de","https://chapati.de","","+493029776027","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, klarna"
"collonil.com","https://collonil.com","","0582568119","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"e-lite-led.de","https://e-lite-led.de","kontakt@e-lite-led.de","004915901998918","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"fairtoner.de","https://fairtoner.de","service@fairtoner.de","","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, klarna"
"fototorte24.de","https://fototorte24.de","","0800368686783","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, stripe, amazon_pay"
"frabox.de","https://frabox.de","info@frabox.de","+495251786730","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, stripe"
"frivolita.de","https://frivolita.de","service@frivolita.de","024054950080","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"gartentotal.de","https://gartentotal.de","","071192456","Garten/Agrar","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, stripe"
"gehetec.de","https://gehetec.de","info@gehetec.de","069998367","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, klarna"
"german-toys.com","https://german-toys.com","info@german-toys.com","+498191964545","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, klarna"
"gleitgut.de","https://gleitgut.de","info@gleitgut.de","0150979910","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, klarna"
"graefe24.de","https://graefe24.de","","0048281004764","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, stripe"
"heizman24.de","https://heizman24.de","info@heizman24.de","0001814790","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, stripe, amazon_pay"
"henne-fashion.com","https://henne-fashion.com","shop@henne-fashion.com","+494212444848","Mode/Textil","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall | Moderne UX wichtig für Zielgruppe","Kostenlose Analyse anbieten | SW6 Design-Vorteile zeigen","paypal, amazon_pay"
"holzbrx.de","https://holzbrx.de","info@holzbrx.de","037602674117","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"ism-store.com","https://ism-store.com","service@ism-store.com","","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"it-nerd24.de","https://it-nerd24.de","","0725815832","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, stripe"
"ital-design.de","https://ital-design.de","service@ital-design.de","020702757","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"justhifi.de","https://justhifi.de","info@justhifi.de","041245587","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"kfp-shop.de","https://kfp-shop.de","service@kfp-pharma.de","061728509012","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, stripe, amazon_pay"
"kiesundco.de","https://kiesundco.de","kontakt@kiesundco.de","026329839200","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"kineco-shop.de","https://kineco-shop.de","","+490235494499223","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, klarna, stripe"
"kistenpfennig-natuerlich-gut.de","https://kistenpfennig-natuerlich-gut.de","","+49613132711400","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"kleiderschrank.com","https://kleiderschrank.com","info@kleiderschrank.com","021529597464","Mode/Textil","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall | Moderne UX wichtig für Zielgruppe","Kostenlose Analyse anbieten | SW6 Design-Vorteile zeigen","paypal, klarna"
"kleinschmidtgmbh.com","https://kleinschmidtgmbh.com","info@kleinschmidtgmbh.com","","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"klinkenfabrik.de","https://klinkenfabrik.de","","+4923717867770","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, stripe"
"lederjacken24.de","https://lederjacken24.de","","0134203012","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"leuchtmittel-verkauf.de","https://leuchtmittel-verkauf.de","","+4928712347790","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, klarna, stripe"
"licensequeen.com","https://licensequeen.com","","040696328500","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"licensequeen.de","https://licensequeen.de","","040696328500","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"lichtdiscount.de","https://lichtdiscount.de","info@lichtdiscount.de","02008121209","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"marken-tresore24.de","https://marken-tresore24.de","","+4943428820691","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, klarna"
"mein-motoroelshop.de","https://mein-motoroelshop.de","support@optimum-sales.de","+4942611842772","Automotive","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall | Schnittstellen zu ERP/Warenwirtschaft","Kostenlose Analyse anbieten | Technische Expertise betonen","paypal, klarna"
"meine-stegplatten.de","https://meine-stegplatten.de","info@meine-stegplatten.de","+494793955910","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"meinlshop.de","https://meinlshop.de","","09161788849","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"motor-oel-guenstig.de","https://motor-oel-guenstig.de","kontakt@motor-oel-guenstig.de","058190927098","Automotive","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall | Schnittstellen zu ERP/Warenwirtschaft","Kostenlose Analyse anbieten | Technische Expertise betonen","paypal, amazon_pay"
"motorroller.de","https://motorroller.de","info@motorroller.de","01904021344","Automotive","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall | Schnittstellen zu ERP/Warenwirtschaft","Kostenlose Analyse anbieten | Technische Expertise betonen","paypal, amazon_pay"
"neuesbad.de","https://neuesbad.de","info@neuesbad.de","","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"notebookheaven.de","https://notebookheaven.de","","068573646","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, stripe"
"ofenersatzteileshop.de","https://ofenersatzteileshop.de","","09527024163","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"office-lieferant.de","https://office-lieferant.de","","+499112740274","Büro/Office","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"outdoortrends.de","https://outdoortrends.de","info@outdoortrends.de","058484667","Garten/Agrar","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"piowald.com","https://piowald.com","info@piowald.com","","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, stripe, amazon_pay"
"pomadeshop.com","https://pomadeshop.com","info@pomadeshop.de","0615420402162","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"profivakuum.de","https://profivakuum.de","sven.sauerbier@profivakuum.de","01772194286","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"reisser-musik.de","https://reisser-musik.de","info@reisser-musik.de","+49731153645","Medien/Technik","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"sanitaets-online.de","https://sanitaets-online.de","service@sanitaets-online.de","028130027460","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"sanundo.de","https://sanundo.de","","03504629690","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"scandinavian-lifestyle.de","https://scandinavian-lifestyle.de","info@scandinavian-lifestyle.de","068620727","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, stripe, amazon_pay"
"seaside64.de","https://seaside64.de","","0055555555555556","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, klarna"
"shakeover.com","https://shakeover.com","shop@shakeover.com","+4923454296020","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, stripe"
"sport-wanninger.de","https://sport-wanninger.de","","+498001000120","Sport/Freizeit","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, klarna, apple_pay"
"stilwahl.de","https://stilwahl.de","","001801818018","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"synergy-networks.de","https://synergy-networks.de","sales@synergy-networks.de","0069444444444444","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, stripe"
"tenderey.de","https://tenderey.de","","040102580","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"teso-shop.de","https://teso-shop.de","info@teso-shop.de","+493578787752","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"thegoodthings.de","https://thegoodthings.de","franc.apel@thegoodthings.de","068635415","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, stripe, amazon_pay"
"thinkstore24.de","https://thinkstore24.de","info@thinkstore24.de","020838574377","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"tintenmarkt.de","https://tintenmarkt.de","","072410957","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"tonerlieferant24.de","https://tonerlieferant24.de","","030403641660","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"tonitec.com","https://tonitec.com","kundenservice@tonitec.com","078724650","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"torten-boutique.de","https://torten-boutique.de","","059623989813","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"vandenhoeck-ruprecht-verlage.com","https://vandenhoeck-ruprecht-verlage.com","","0419783525700181","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"volksversand.de","https://volksversand.de","info@volksversand.de","","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, klarna"
"vorlagen-center.com","https://vorlagen-center.com","service@vorlagen-center.com","+4961814187941","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, klarna, stripe"
"wiresoft.com","https://wiresoft.com","info@wiresoft.com","060153557","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, stripe"
"wolle-aktuell.de","https://wolle-aktuell.de","","069595114","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, stripe, apple_pay"
"wollzauber.com","https://wollzauber.com","","00352400506","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"zahaira.de","https://zahaira.de","","+4952198877820","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, stripe"
"zisternenprofi.de","https://zisternenprofi.de","info@zisternenprofi.de","0906146213","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, klarna"
"zweiradteile.net","https://zweiradteile.net","","031746031746","Sport/Freizeit","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, klarna, apple_pay"
